contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,underlying,expiry,snapshot_date
AVGO280121C00430000,2025-12-12 20:26:07+00:00,430.0,82.57,83.6,86.65,-33.730003,-29.002583,27.0,263.0,0.5244493356323242,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00440000,2025-12-12 20:04:08+00:00,440.0,80.77,80.85,83.7,-27.080002,-25.108948,91.0,112.0,0.5234651535797119,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00450000,2025-12-12 19:34:34+00:00,450.0,77.47,77.85,80.35,-29.64,-27.672485,81.0,306.0,0.5204515728759764,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00460000,2025-12-12 19:19:24+00:00,460.0,76.48,75.2,77.15,-22.589996,-22.802055,11.0,129.0,0.5182085533142089,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00470000,2025-12-12 20:51:29+00:00,470.0,72.67,72.5,75.5,-28.669998,-28.290901,30.0,74.0,0.5191393301391601,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00480000,2025-12-12 20:08:10+00:00,480.0,70.35,70.9,73.0,-28.980003,-29.175478,101.0,97.0,0.5202532106018065,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00490000,2025-12-12 17:59:34+00:00,490.0,70.65,67.55,70.55,-21.119995,-23.014051,4.0,93.0,0.5168963105773927,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00500000,2025-12-12 20:42:52+00:00,500.0,65.65,66.2,67.25,-26.349998,-28.641302,139.0,834.0,0.515904499206543,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00510000,2025-12-12 19:43:52+00:00,510.0,64.44,63.0,65.0,-25.909996,-28.677362,18.0,69.0,0.5126162630462645,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00520000,2025-12-12 20:42:52+00:00,520.0,61.35,60.75,63.0,-26.32,-30.021673,124.0,842.0,0.5118533312225341,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00540000,2025-12-12 20:05:02+00:00,540.0,57.45,56.85,58.75,-28.170002,-32.90119,38.0,144.0,0.510144363937378,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00560000,2025-12-12 20:28:49+00:00,560.0,53.06,53.4,55.9,-23.779995,-30.947416,122.0,1327.0,0.5116625982666017,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121P00170000,2025-12-12 20:56:51+00:00,170.0,13.8,13.6,14.15,2.1999998,18.965515,31.0,111.0,0.5055286264038085,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00175000,2025-12-12 20:29:52+00:00,175.0,15.1,14.6,15.2,2.3500004,18.431376,6.0,65.0,0.5021106918334962,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00180000,2025-12-12 19:39:42+00:00,180.0,16.0,15.7,16.25,2.5500002,18.95911,13.0,52.0,0.5019733641052246,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00185000,2025-12-12 20:58:17+00:00,185.0,17.2,16.8,17.4,-0.7799988,-4.3381467,7.0,2.0,0.4989979299926758,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00190000,2025-12-12 20:22:23+00:00,190.0,18.31,18.0,18.6,2.2699986,14.152109,7.0,23.0,0.4961293063354492,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00195000,2025-12-12 20:52:28+00:00,195.0,19.55,19.0,20.2,0.27999878,1.4530295,284.0,24.0,0.4968617208862305,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00200000,2025-12-12 20:55:50+00:00,200.0,20.97,20.25,21.35,3.7199993,21.565214,92.0,159.0,0.4926198199462891,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00210000,2025-12-12 19:38:57+00:00,210.0,23.5,23.15,24.05,2.9099998,14.133074,11.0,83.0,0.4869436071777344,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00220000,2025-12-12 20:21:13+00:00,220.0,26.99,26.05,27.05,4.26,18.741753,24.0,136.0,0.4824880853271485,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00230000,2025-12-12 19:51:41+00:00,230.0,29.6,27.15,30.4,5.3999996,22.314049,25.0,1038.0,0.4794363580322265,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00240000,2025-12-12 20:42:52+00:00,240.0,32.81,32.4,33.5,5.5600014,20.403675,43.0,281.0,0.4731040238952637,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00250000,2025-12-12 18:13:24+00:00,250.0,36.78,36.0,37.0,6.579998,21.788073,77.0,393.0,0.4686027261352539,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00260000,2025-12-12 19:44:31+00:00,260.0,40.0,39.65,41.1,6.4399986,19.189507,6.0,467.0,0.4670310865783691,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00270000,2025-12-12 17:57:23+00:00,270.0,43.4,43.55,45.1,5.7800026,15.364176,5.0,403.0,0.4635063415527344,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00280000,2025-12-12 20:41:01+00:00,280.0,48.9,46.65,49.2,9.050003,22.71017,43.0,420.0,0.4595238374328613,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00290000,2025-12-12 19:57:40+00:00,290.0,52.54,51.95,53.95,8.350002,18.895683,30.0,182.0,0.4584404742431641,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00300000,2025-12-12 20:58:19+00:00,300.0,56.85,56.45,58.45,9.049999,18.933054,41.0,262.0,0.4547936601257324,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00310000,2025-12-12 20:46:31+00:00,310.0,61.69,61.1,61.95,10.489998,20.488277,28.0,141.0,0.4446466668701171,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00320000,2025-12-12 19:56:55+00:00,320.0,66.65,65.9,68.05,10.850002,19.444448,55.0,1113.0,0.4481408946228026,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00330000,2025-12-12 20:39:05+00:00,330.0,72.32,70.95,71.9,9.77,15.619506,9.0,172.0,0.4384745484161377,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00340000,2025-12-12 20:19:51+00:00,340.0,76.92,76.1,77.15,11.019997,16.722301,6.0,478.0,0.43555251953125,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00350000,2025-12-12 20:38:28+00:00,350.0,82.9,81.45,82.15,13.169998,18.887133,38.0,261.0,0.4305324281311035,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00360000,2025-12-12 20:20:40+00:00,360.0,88.9,86.95,88.05,15.32,20.820873,415.0,222.0,0.4293269958496094,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00370000,2025-12-12 17:42:28+00:00,370.0,94.15,92.7,93.75,14.090004,17.599306,65.0,289.0,0.426313415145874,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00380000,2025-12-12 19:06:09+00:00,380.0,98.5,98.45,100.9,14.800003,17.682201,13.0,231.0,0.4297008324432373,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00390000,2025-12-12 19:57:02+00:00,390.0,104.9,104.4,106.9,13.270004,14.4821615,169.0,321.0,0.4266567344665528,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00400000,2025-12-12 19:39:34+00:00,400.0,111.4,110.55,113.15,16.400002,17.263159,12.0,563.0,0.4241466887664794,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00410000,2025-12-12 20:27:50+00:00,410.0,119.3,116.8,119.15,18.840004,18.753736,3.0,231.0,0.4197598307800292,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00420000,2025-12-12 16:39:41+00:00,420.0,123.19,123.45,124.6,17.050003,16.063694,10.0,52.0,0.4120999952697753,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00430000,2025-12-09 19:26:21+00:00,430.0,113.98,129.95,132.15,0.0,0.0,2.0,18.0,0.4138852557373046,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00440000,2025-12-11 14:46:46+00:00,440.0,121.13,136.6,138.85,0.0,0.0,1.0,59.0,0.4109784854888916,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
